source,target,precision
partial,parciales,1.0
skip,integración,1.0
unique,único,0.510135748936
focus,árbol,0.915652511674
month,delante,1.0
sichuan,yi,1.0
toggle,print,0.509135235075
query,consulta,0.668937221601
disk,disco,0.70400624567
saved,formularios,1.0
issues,ficheros,0.554451197515
row,fila,1.0
increase,sangrado,1.0
requested,solicitado,0.666666666667
icons,iconos,1.0
show,suscritas,1.0
send,envío,0.867006127006
netscape,server,0.968854422605
languages,caracteres,1.0
program,programa,1.0
text,texto,0.797486533488
details,detalles,0.967151099323
presentation,presentación,1.0
sent,enviado,1.0
tooltips,descripciones,0.590142552536
updated,actualizado,1.0
kitts,nevis,0.590142552536
account,configurada,0.502819574742
primed,preparado,1.0
updates,actualizaciones,0.855064372561
scrollback,retroceso,1.0
entire,entera,0.501416934036
button,botón,1.0
rights,derechos,1.0
list,lista,0.504780725602
prefix,nombres,1.0
standards,estándares,1.0
try,intentarlo,0.666666676793
defaults,avisos,0.51620372832
quick,rápida,1.0
prevent,cree,0.968007940174
cookies,sitios,0.539524933884
unexpected,inesperada,0.500000000001
slot,ranura,0.500043287272
occurrence,aparición,1.0
sync,sincronización,1.0
sign,reconectar,1.0
video,vídeo,0.554500801117
evaluated,evaluado,1.0
download,ahora,1.0
click,clic,0.998470622656
required,necesario,1.0
imported,importado,1.0
preferences,espacios,0.55448018501
integrity,integridad,0.500000010414
selected,seleccionadas,0.999999952587
current,actuales,0.999999937596
public,pública,0.753834650082
template,plantilla,0.66706473786
new,dinámico,1.0
retention,retención,0.59985923455
completion,apodo,0.5
outgoing,existente,0.577153453689
full,completa,0.768349871338
tags,etiquetas,0.8
never,nunca,0.99999978341
modify,modificar,0.767458693216
french,franceses,1.0
let,saber,0.5
undo,ignorar,1.0
address,direcciones,0.792338140865
active,activo,1.0
strong,fuerte,1.0
toolbar,origen,0.500000438821
search,definición,1.0
incoming,entrante,1.0
canadian,canadiense,0.896646359978
technical,técnicos,1.0
shift,h,1.0
reports,símbolos,0.54144043927
userlist,izquierda,0.50000005946
amount,rotar,0.646960997489
weekday,laborable,1.0
indentation,sangría,1.0
action,acción,1.0
live,mail,0.907284259667
gamepad,juego,1.0
modelview,modela,0.507071060968
manage,suscripciones,1.0
replace,buscar,0.500000000011
licensing,licencia,0.666666851717
bookmarks,copias,1.0
select,casilla,0.852827735244
trinidad,tobago,1.0
recurrence,repetición,0.5
use,tema,1.0
score,puntuación,0.527280193427
certificate,respaldo,1.0
illegal,ilegal,0.961894868043
destination,destino,0.666666741069
visit,visita,0.751266819211
two,dos,0.5910603758
next,siguiente,0.600594259829
memory,memoria,1.0
preview,previsualización,0.709978739638
type,atributo,0.693816952238
tell,rastreado,0.704913612358
authorization,autorización,1.0
sort,precio,1.0
flat,plana,1.0
started,comenzadas,1.0
mozilla,project,0.847393806621
phone,teléfono,0.527522764536
known,conocidas,1.0
outdated,obsoleta,1.0
word,comienzo,0.5910603758
setup,instalación,1.0
work,trabajo,1.0
paragraph,párrafo,0.66401138899
install,instalar,0.741772439713
island,mcdonald,0.5
modifier,modificadora,1.0
fetch,cuelgue,0.5910603758
history,android,0.666699989973
tap,volver,0.5
links,enlaces,0.500000000056
share,ubicación,0.71357821786
mailboxes,buzones,1.0
agent,agente,0.895189789206
high,alto,1.0
unsent,pendientes,0.6
tab,tabuladores,1.0
axis,z,0.541907395316
end,finalización,1.0
recovery,recuperación,1.0
playback,reproducción,0.5
adjacent,adyacentes,0.5
separator,separador,1.0
absolute,absoluto,1.0
parameter,pasado,1.0
css,elementos,1.0
sil,compact,0.590142552536
profile,rendimiento,0.530656718598
map,mapa,0.500000026878
product,producto,1.0
mapping,anypolicy,0.5
wrong,erróneo,0.5
discard,recargar,0.512417237471
date,hora,0.733123549975
data,cuelgues,1.0
short,corta,1.0
attempt,intento,0.782218456615
remember,decisión,1.0
documentation,propiedad,1.0
wink,guiño,1.0
allow,equipos,1.0
enter,directamente,1.0
order,recepción,0.873184224567
operations,operaciones,1.0
feed,canal,1.0
help,ayuda,1.0
move,alejar,1.0
previous,anterior,0.935554974776
installed,instalados,1.0
comma,comas,1.0
keyboard,teclado,0.714295378287
responsive,adaptable,0.855329211756
unmute,sonido,0.572190673777
still,aún,0.867956626543
blocked,política,0.677106788339
encoding,codificación,0.602818419413
hyphenate,guión,0.969304471304
platform,plataforma,0.761407475189
permanent,permanente,1.0
multiline,multilínea,1.0
policy,anypolicy,0.5
mail,personalizables,1.0
weeks,semanas,0.590142552536
main,principal,0.99999999994
return,recibo,0.985441770606
matches,coincidencias,1.0
safe,seguro,0.618044314483
number,numeración,1.0
dock,notificación,1.0
kiss,beso,1.0
combo,desplegables,1.0
day,mes,1.0
permissions,permisos,1.0
articles,artículos,0.909475819676
execute,ejecutar,0.89267256278
name,subdirectorio,0.506757156421
edit,seleccionan,0.966848889907
always,siempre,0.984427490048
instant,instantáneo,1.0
phonetic,fonético,1.0
repeating,repetitiva,1.0
tray,bandeja,0.772627546419
side,lado,0.835349908858
domain,dominio,0.63728910395
attachments,respuestas,0.590142552536
receipt,acuse,0.666665343487
wrap,derecha,0.5
finish,personalización,0.50000002039
connect,conectar,1.0
hosted,alojada,1.0
