source,target,precision
sichuan,yi,0.998907840223
prefix,prefijo,0.943812933302
asian,asiático,0.5
saved,guardada,0.978684741574
aug,ago,1.0
updated,actualizado,0.999983578731
replication,réplica,0.87040268623
every,cada,0.768966808708
updates,actualizaciones,0.704792636451
postpone,postponer,0.933894159067
scrollback,retroceso,0.666637347029
four,cuatro,0.937703288825
basics,básica,0.832382826825
prefill,precumplimentar,0.874837484486
upload,subida,0.999993962225
gaelic,escocés,0.514894993632
croatian,croata,1.0
japanese,japonés,1.0
second,segundo,0.64483086351
street,calle,1.0
implemented,implementado,1.0
expressions,expresiones,0.843119450136
hide,ocultar,0.868459697333
preferences,preferencias,0.942567558792
cyprus,chipre,1.0
panama,panamá,1.0
selected,seleccionadas,0.999970062385
decoding,decodificación,0.938329030884
chechen,checheno,1.0
new,nuevos,0.965897648504
kicked,pateado,0.651298564036
never,nunca,0.999999459717
reported,identificados,0.72291517201
protection,protección,0.999809304263
active,activo,0.866150464574
items,elementos,0.587258090105
changed,cambiada,0.901682207754
reports,informes,0.884806055762
indentation,sangría,0.716752004406
browsing,navegación,0.539784705134
changes,cambios,0.914325032855
issuers,emisores,0.950828355384
secure,segura,0.797616649657
classification,identificar,0.791320522686
replace,sustituir,0.913718006102
unit,unidad,0.916209088968
palestinian,palestina,0.515987415233
browse,examinar,0.806749346263
sidebars,laterales,0.999998746883
program,programa,0.999957523086
call,llamada,0.926579313097
preview,previsualización,0.950866614078
type,tipo,0.946171989042
tell,indicar,0.708313957545
separated,separado,0.538776496271
composite,compuesto,1.0
georgian,georgiano,1.0
warn,advertirme,0.978250864703
phone,teléfono,0.884864359069
interaction,interacción,1.0
siblings,hermanos,1.0
hold,alcance,0.942362916959
outdated,desactualizado,0.887918098363
addon,complemento,0.943259840049
word,comienzo,0.500002500293
room,sala,1.0
rights,derechos,0.999999913477
presentation,presentación,0.978470378073
setup,cómo,0.507074885456
work,trabajo,0.999999964736
refusing,rechazando,0.892214512686
install,instalar,0.848468978732
exceptions,excepciones,0.999828891918
grenada,granada,1.0
example,ejemplo,0.796033343835
phrase,frase,0.55761535401
give,denos,0.761628262729
autodetect,autodetectar,1.0
authorities,autoridades,1.0
want,quiere,0.649870574586
organizer,organizador,1.0
absolute,absoluto,0.999671178315
end,finalización,0.99504260771
recovery,recuperación,0.977393868339
machine,máquina,0.520573341555
place,colocar,0.881583221229
description,descripción,0.943103472334
diagram,diagrama,1.0
wrong,equivocada,0.830205348596
fijian,fiji,0.5
inactivity,inactividad,0.651714498608
attempt,intento,0.716133775249
third,tercero,1.0
lost,perdido,0.947591801777
wink,pícaro,1.0
enter,introduzca,0.883444643417
order,orden,0.660598201888
operations,operaciones,0.833329659008
feedback,opinión,0.750896465716
uninstalling,desinstalando,1.0
consent,consiento,0.807305792904
galician,gallego,1.0
keyboard,teclado,0.785061304015
responsive,adaptable,0.805726898859
japan,japón,1.0
fit,encajar,1.0
weeks,semanas,0.998599677936
