source,target,precision
prefix,prefijo,0.930181917232
asian,asiático,0.5
saved,guardados,0.986568816831
spellcheck,según,0.523544991545
aug,ago,1.0
tweet,tuit,0.957281684151
updated,actualizado,0.999957864095
replication,réplica,0.89752756208
every,cada,0.891763206201
updates,actualizaciones,0.676783834926
namespaces,espacios,0.68630860647
postpone,postponer,0.9646234504
four,cuatro,0.959980389356
basics,básica,0.884130618402
customizable,personalizables,0.78192973349
prefill,precumplimentar,0.857144094216
upload,subida,0.999998139335
gaelic,escocés,0.538470926808
croatian,croata,1.0
japanese,japonés,1.0
second,segundo,0.983603169262
street,calle,1.0
implemented,implementado,1.0
expressions,expresiones,0.687343692841
hide,ocultar,0.871939472484
preferences,preferencias,0.985094843631
cyprus,chipre,1.0
panama,panamá,1.0
selected,seleccionada,0.99999815707
decoding,decodificación,0.949286745581
scrolling,desplazamiento,0.873781421832
chechen,checheno,1.0
new,nueva,0.999826458632
kicked,pateado,0.572711995385
reporter,fallos,0.555739084632
never,nunca,0.999998293647
reported,identificados,0.933832765907
protection,protección,0.999961738667
active,activo,0.783538151505
items,elementos,0.65148172299
changed,cambiada,0.964752731628
reports,informes,0.736009311632
indentation,sangría,0.526040778974
browsing,navegación,0.636472666011
changes,cambios,0.916407675537
issuers,emisores,0.950975717077
secure,segura,0.604115750512
classification,identificar,0.796756352462
replace,sustituir,0.948894818861
unit,unidad,0.916686545823
palestinian,palestina,0.548875782233
browse,examinar,0.797030191621
sidebars,laterales,0.999998952497
program,programa,0.995160963597
call,llamada,0.923229533453
preview,previsualización,0.943927609935
type,tipo,0.999999997136
tell,indicar,0.904722417366
composite,compuesto,1.0
georgian,georgiano,1.0
warn,advertirme,0.9935209421
phone,teléfono,0.936736608041
interaction,interacción,1.0
siblings,hermanos,1.0
hold,alcance,0.942064735501
outdated,desactualizado,0.952317299947
addon,complemento,0.954106773868
room,sala,1.0
rights,derechos,0.999929609324
presentation,presentación,0.864810599228
work,trabajo,0.999999623448
refusing,rechazando,0.93163994462
install,instalar,0.854826643452
exceptions,excepciones,0.999993338604
grenada,granada,1.0
root,raíz,0.599359263014
example,ejemplo,0.796947940529
phrase,frase,0.999553465244
give,conceder,0.924522233025
autodetect,autodetectar,1.0
authorities,autoridades,1.0
want,quiero,0.776207897942
organizer,organizador,1.0
absolute,absoluto,0.9258692168
end,fin,0.999997070203
recovery,recuperación,0.921696226826
machine,máquina,0.956720297471
place,colocar,0.942561797576
description,descripción,1.0
diagram,diagrama,1.0
wrong,equivocada,0.920663146716
fijian,fiji,0.5
types,tipos,0.672757454594
inactivity,inactividad,0.667931187747
attempt,intente,0.872820421459
third,tercero,1.0
lost,perdido,0.989532294164
wink,pícaro,1.0
enter,introduzca,0.822371845417
order,orden,0.821042082802
operations,operaciones,0.749946160755
feedback,opinión,0.717041063227
uninstalling,desinstalando,1.0
consent,consiento,0.974444473323
galician,gallego,1.0
helena,elena,0.94342889405
keyboard,teclado,0.963275398428
japan,japón,1.0
fit,encajar,1.0
weeks,semanas,0.996717870881
belarus,belarús,1.0
deletion,eliminación,0.517273681696
fragment,fragmentos,0.927115320139
safe,seguro,0.58305275249
aborted,abortado,1.0
unthreaded,anidado,0.5
nested,anidada,0.953085488005
fonts,tipografía,0.987385237947
backgrounds,fondos,0.716950422482
timeout,caducidad,0.882395062883
debug,depurar,0.999996133204
feeds,canales,0.565054526198
side,lado,0.725902254689
wheel,rueda,0.946752038847
signing,firmando,1.0
stronger,compleja,0.957570409179
wednesday,miércoles,1.0
latvian,letón,1.0
used,utilizada,1.0
yiddish,judío,1.0
hosted,alojado,1.0
extract,extraer,0.519945314321
saturday,sábado,1.0
network,red,0.928169549225
restricted,restringida,0.78517689798
toolbars,barras,0.999999995588
laid,ve,0.916689252138
surprise,sorpresa,1.0
size,tamaño,0.802459626231
apr,abr,1.0
stamping,marca,0.910895145563
resume,reanudar,1.0
free,gratis,1.0
ascending,ascendente,0.99999999031
sheet,hoja,0.508598752633
created,creado,0.958739619196
starts,comience,0.999887449828
messages,mensajes,0.999475742325
days,días,0.868571329351
filter,filtrar,0.999999955535
signature,firma,0.917205411262
baltic,báltico,1.0
features,características,0.999998582157
grade,grado,0.806409180561
primary,primario,1.0
restrict,restringir,0.974603118602
categorize,categorizar,0.948136354445
antilles,holandesas,0.538470926808
service,servicio,0.953615481572
attach,anexado,0.949979658138
top,encima,0.935213042653
needed,necesite,0.662531053616
master,maestra,0.968113501209
listed,listado,1.0
draft,borrador,0.516557510906
listen,escucha,0.940971199622
danish,danés,1.0
collapse,contraer,0.878364685328
tool,herramienta,0.556653357098
direct,directo,0.942894710058
western,occidental,0.999920301283
miquelon,pedro,0.549911266905
begins,comienza,0.518482942024
keyword,palabra,0.784806828661
enabled,habilitado,1.0
project,proyecto,0.99929873285
idle,inactivo,0.871232149403
gabon,gabón,1.0
raw,procesados,0.919768678156
friulian,friulano,1.0
contents,contenidos,0.999375134658
cyrillic,cirílico,1.0
indexer,indexador,0.919013462123
recommended,recomendados,0.893609083509
causing,causando,0.504942234625
iceland,islandia,1.0
extending,extender,0.965366615877
germany,alemania,1.0
breakpoint,punto,0.999220111649
tibetan,tibetano,1.0
zealand,zelanda,0.976741596016
responder,contestador,0.539969654829
section,sección,0.829729556665
incomplete,incompletas,0.931300090842
whitelist,blanca,1.0
syntax,sintaxis,0.963856286825
colors,colores,0.999168455079
stepping,pasos,0.949787253219
hungary,hungría,1.0
busy,ocupado,0.999986154256
clicked,pulsado,1.0
menu,menú,0.999818660356
theme,tema,0.840185374879
folder,carpeta,0.999999949075
watch,vigilancia,0.984381109048
coast,ivory,0.525650051271
report,informe,0.521382920875
layout,disposición,1.0
bar,barra,0.608281214553
method,método,0.908290432403
reload,recargue,0.973020479845
bad,mal,1.0
asturian,asturiano,1.0
automatic,automáticas,0.824160812319
flagged,señalado,0.999999999566
reference,referencia,0.874995425844
guiana,guayana,0.928849744289
unexpectedly,desconecta,0.505186577584
result,resultado,0.99953805991
best,mejor,0.828052093001
subject,asunto,0.999999999997
brazil,brasil,1.0
inappropriate,inapropiada,0.832834816977
away,ausente,0.75
unable,posible,0.919228275369
terms,términos,0.993130151262
relative,relativa,0.859064259762
bookmarked,añadidos,0.928525192263
component,componente,0.936139048132
packaged,empaquetado,1.0
icelandic,islandés,1.0
received,recibido,0.999999741523
undelete,recuperar,0.577969651462
country,residencia,0.538470956434
adapter,adaptador,0.996126907944
threads,conversaciones,0.784380143455
requests,solicitudes,0.673911397946
height,altura,0.964510633227
basque,vasco,1.0
loaded,cargado,1.0
trust,confianza,0.74579327226
conference,conferencias,0.958395621677
source,origen,0.999455440624
fri,vie,1.0
tiny,diminuto,1.0
beep,pitido,0.948719354235
viewer,visor,0.999579535212
trigger,salto,0.558998765985
basic,básico,0.840183046353
tutorials,tutoriales,0.958785504986
entered,introducido,0.769418836786
anchors,internos,0.617476199353
eastern,oriente,0.60188936983
tajikistan,tayikistán,1.0
argument,argumento,0.955196966714
exception,excepción,0.992950975709
save,salvar,0.999321474003
formatting,formateo,1.0
oman,omán,1.0
property,propiedad,0.999996067075
anchor,interno,0.623341111054
seven,siete,0.692099996734
mexico,méxico,1.0
hebrew,hebreo,1.0
march,marzo,1.0
mouse,ratón,0.999560587932
trusted,confiado,1.0
containing,contenedora,0.969142691366
perform,realizar,0.972986462607
make,convertirlo,0.775144466648
beside,junto,0.959726426154
split,dividida,0.964482002965
incorrectly,incorrectamente,0.551631237107
european,europea,0.636553123308
templates,plantillas,0.999939314127
welsh,galés,1.0
hand,mano,0.559558319623
action,acción,0.9450857591
cycle,distintos,0.513805912877
thu,jue,1.0
min,mín,1.0
uploading,subiendo,1.0
contact,contacto,0.999999999597
monaco,mónaco,1.0
left,izquierda,0.999006378578
unified,unificadas,0.994794180429
protocol,protocolo,0.999937763424
birth,nacimiento,0.999984825145
photo,foto,0.999985614937
belarusian,bielorruso,1.0
quotes,comillas,0.99637220125
thanks,especial,0.538470926808
yet,todavía,0.729594020488
previous,anterior,0.779826436022
character,carácter,0.999873522002
innocent,inocente,0.999999444268
east,oriental,0.800593276526
casting,asimilando,0.964541721939
possible,imposible,0.666666059324
boxes,desplegables,0.503501524607
rotate,rotar,0.913929826824
descending,descendente,0.99999999031
background,fondo,0.783009471663
cape,cabo,0.538760335351
unique,único,0.963726454683
korean,coreano,1.0
advanced,avanzadas,0.999999999411
zoom,disminuir,1.0
specific,específico,0.9726460889
remind,recordármelo,0.96398295688
security,seguridad,0.999999942695
portuguese,portugués,1.0
right,derecha,1.0
people,personas,0.999923580059
czech,checo,1.0
successfully,correctamente,0.986210993489
malaysia,malasia,1.0
ignore,ignorar,0.999999501812
tracked,rastreado,0.740117756375
bottom,inferior,0.99539786886
notification,notificación,0.98810763978
comments,comentarios,0.872441835125
denied,denegado,0.96043602139
subordination,subordinación,0.502225084514
christmas,navidad,0.938477540768
bold,negrita,1.0
subscriptions,suscripciones,0.852590659047
deleted,eliminados,1.0
properties,propiedades,0.980265743227
subfolder,subcarpeta,0.952978202214
islands,islas,0.999999807624
automatically,automáticamente,0.87067256531
match,cumplan,0.951965581512
statements,sentencias,0.872127421763
bound,limitado,0.591920732202
greenland,groenlandia,1.0
wrap,ocupar,1.0
support,soporte,0.669254224658
initial,inicial,0.781343339229
class,clase,0.990422550545
width,anchura,0.999999872678
decoded,decodificadas,0.500000139888
medium,mediano,1.0
form,formulario,0.999903293651
offer,ofrecerlo,0.93354034801
back,atrás,0.997649529465
notifications,notificaciones,0.846126082672
bengali,bengalí,1.0
vietnamese,vietnamita,1.0
removed,eliminada,0.749985220365
reset,reinicializar,0.954143527282
reconnection,reconexión,0.965528040388
versions,versiones,0.999995022642
unpin,desasociar,0.975409626781
maximum,máximo,0.86068417622
devices,dispositivos,0.828888456529
authorization,autorización,0.999806250563
vatican,vaticano,0.949646459603
delete,eliminarlos,1.0
originating,originario,0.516435010473
weekday,laborable,0.951756380794
classic,clásica,0.886602807685
timezone,horaria,0.993558664076
check,revisar,0.959102607739
physical,físico,1.0
cambodia,camboya,1.0
setting,establecimiento,0.949588948731
